Source	Target	Weight
12hpf:epidermal (gbx2+)	16hpf:hatching gland	0
12hpf:hatching gland	16hpf:hatching gland	1
12hpf:hindbrain	16hpf:hatching gland	0
12hpf:mesoderm adaxial cells	16hpf:hatching gland	0
12hpf:mesoderm lateral plate	16hpf:hatching gland	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:hatching gland	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:hatching gland	0
12hpf:midbrain	16hpf:hatching gland	0
12hpf:neural anterior	16hpf:hatching gland	0
12hpf:neural crest	16hpf:hatching gland	0
12hpf:neural plate anterior	16hpf:hatching gland	0
12hpf:neural plate posterior	16hpf:hatching gland	0
12hpf:notochord	16hpf:hatching gland	0
12hpf:periderm	16hpf:hatching gland	0
12hpf:spinal cord	16hpf:hatching gland	0
12hpf:tailbud mesoderm	16hpf:hatching gland	0
12hpf:telencephalon	16hpf:hatching gland	0
12hpf:anterior neural ridge	16hpf:heart	0.00432900432900433
12hpf:diencephalon	16hpf:heart	0
12hpf:diencephalon (aplnr2+)	16hpf:heart	0
12hpf:differentiating neurons	16hpf:heart	0
12hpf:endoderm	16hpf:heart	0.00865800865800866
12hpf:endothelial	16hpf:heart	0.0285714285714286
12hpf:epidermal	16hpf:heart	0
12hpf:epidermal (foxi3a+)	16hpf:heart	0
12hpf:epidermal (gbx2+)	16hpf:heart	0
12hpf:hatching gland	16hpf:heart	0
12hpf:hindbrain	16hpf:heart	0
12hpf:mesoderm adaxial cells	16hpf:heart	0
12hpf:mesoderm lateral plate	16hpf:heart	0.877922077922078
12hpf:mesoderm lateral plate (fli1a+)	16hpf:heart	0.0510822510822511
12hpf:mesoderm lateral plate (tbx1+)	16hpf:heart	0.0251082251082251
12hpf:midbrain	16hpf:heart	0.000865800865800866
12hpf:neural anterior	16hpf:heart	0
12hpf:neural crest	16hpf:heart	0.000865800865800866
12hpf:neural plate anterior	16hpf:heart	0
12hpf:neural plate posterior	16hpf:heart	0.0025974025974026
12hpf:notochord	16hpf:heart	0
12hpf:periderm	16hpf:heart	0
12hpf:spinal cord	16hpf:heart	0
12hpf:tailbud mesoderm	16hpf:heart	0
12hpf:telencephalon	16hpf:heart	0
12hpf:anterior neural ridge	16hpf:hindbrain dorsal	0
12hpf:diencephalon	16hpf:hindbrain dorsal	0
12hpf:diencephalon (aplnr2+)	16hpf:hindbrain dorsal	0
12hpf:differentiating neurons	16hpf:hindbrain dorsal	0.0399375975039002
12hpf:endoderm	16hpf:hindbrain dorsal	0
12hpf:endothelial	16hpf:hindbrain dorsal	0
12hpf:epidermal	16hpf:hindbrain dorsal	0.0199687987519501
12hpf:epidermal (foxi3a+)	16hpf:hindbrain dorsal	0
12hpf:epidermal (gbx2+)	16hpf:hindbrain dorsal	0.00280811232449298
